Temps,Vitesse
15.1,1.75324
15.1167,1.75049
15.1333,1.74775
15.15,1.74501
15.1667,1.74228
15.1833,1.73955
15.2,1.73683
15.2167,1.73411
15.2333,1.7314
15.25,1.72869
15.2667,1.72599
15.2833,1.72329
15.3,1.7206
15.3167,1.71791
15.3333,1.71522
15.35,1.71254
15.3667,1.70987
15.3833,1.7072
15.4,1.70453
15.4167,1.70187
15.4333,1.69922
15.45,1.69657
15.4667,1.69392
15.4833,1.69128
15.5,1.68864
15.5167,1.68601
15.5333,1.68339
15.55,1.68076
15.5667,1.67815
15.5833,1.67553
15.6,1.67292
15.6167,1.67032
15.6333,1.66772
15.65,1.66513
15.6667,1.66254
15.6833,1.65995
15.7,1.65737
15.7167,1.65479
15.7333,1.65222
15.75,1.64966
15.7667,1.64709
15.7833,1.64454
15.8,1.64198
15.8167,1.63943
15.8333,1.63689
15.85,1.63435
15.8667,1.63181
15.8833,1.62928
15.9,1.62676
15.9167,1.62424
15.9333,1.62172
15.95,1.61921
15.9667,1.6167
15.9833,1.61419
16,1.61169
16.0167,1.6092
16.0333,1.60671
16.05,1.60422
16.0667,1.60174
16.0833,1.59926
16.1,1.59679
16.1167,1.59432
16.1333,1.59185
16.15,1.58939
16.1667,1.58694
16.1833,1.58449
16.2,1.58204
16.2167,1.57959
16.2333,1.57716
16.25,1.57472
16.2667,1.57229
16.2833,1.56987
16.3,1.56744
16.3167,1.56503
16.3333,1.56261
16.35,1.5602
16.3667,1.5578
16.3833,1.5554
16.4,1.553
16.4167,1.55061
16.4333,1.54822
16.45,1.54584
16.4667,1.54346
16.4833,1.54108
16.5,1.53871
16.5167,1.53634
16.5333,1.53398
16.55,1.53162
16.5667,1.52927
16.5833,1.52692
16.6,1.52457
16.6167,1.52223
16.6333,1.51989
16.65,1.51755
16.6667,1.51522
16.6833,1.5129
16.7,1.51057
16.7167,1.50826
16.7333,1.50594
16.75,1.50363
16.7667,1.50132
16.7833,1.49902
16.8,1.49672
16.8167,1.49443
16.8333,1.49214
16.85,1.48985
16.8667,1.48757
16.8833,1.48529
16.9,1.48302
16.9167,1.48075
16.9333,1.47848
16.95,1.47622
16.9667,1.47396
16.9833,1.4717
17,1.46945
17.0167,1.46721
17.0333,1.46496
17.05,1.46272
17.0667,1.46049
17.0833,1.45826
17.1,1.45603
17.1167,1.4538
17.1333,1.45158
17.15,1.44937
17.1667,1.44715
17.1833,1.44495
17.2,1.44274
17.2167,1.44054
17.2333,1.43834
17.25,1.43615
17.2667,1.43396
17.2833,1.43177
17.3,1.42959
17.3167,1.42741
