Temps (s);Vitesse angulaire (rad/s)
7,5083046;7,8998556
7,516638;7,897789
7,524971;7,895723
7,533304;7,893657
7,5416374;7,891592
7,5499706;7,8895273
7,558304;7,8874636
7,566637;7,8854003
7,5749702;7,8833375
7,5833035;7,881275
7,5916367;7,8792133
7,59997;7,877152
7,608303;7,875091
7,6166363;7,8730307
7,6249695;7,870971
7,6333027;7,868912
7,641636;7,8668537
7,649969;7,8647957
7,6583023;7,862738
7,6666355;7,860681
7,6749687;7,8586245
7,683302;7,8565683
7,691635;7,854513
7,6999683;7,8524585
7,7083015;7,8504043
7,7166348;7,8483505
7,724968;7,8462973
7,733301;7,8442445
7,7416344;7,842192
7,7499676;7,8401403
7,758301;7,8380895
7,766634;7,836039
7,774967;7,833989
7,7833004;7,8319397
7,7916336;7,8298907
7,799967;7,827842
7,8083;7,825794
7,816633;7,8237467
7,8249664;7,8217
7,8332996;7,819654
7,841633;7,8176084
7,849966;7,815563
7,8582993;7,8135185
7,8666325;7,8114743
7,8749657;7,8094306
7,883299;7,8073874
7,891632;7,805345
7,8999653;7,8033032
7,9082985;7,801262
7,9166317;7,799221
7,924965;7,7971807
7,933298;7,7951407
7,9416313;7,7931013
7,9499645;7,7910624
7,9582977;7,7890244
7,966631;7,786987
7,974964;7,78495
7,9832973;7,782913
7,9916306;7,780877
7,9999638;7,7788415
8,008297;7,7768064
8,01663;7,7747717
8,024963;7,7727375
8,033297;7,7707043
8,04163;7,7686715
8,049963;7,766639
8,058296;7,7646074
8,066629;7,762576
8,074963;7,7605453
8,083296;7,758515
8,091629;7,756485
8,099962;7,754456
8,108295;7,7524276
8,116629;7,7503996
8,124962;7,748372
8,133295;7,746345
8,141628;7,7443185
8,149961;7,7422924
8,158295;7,740267
8,166628;7,7382417
8,174961;7,7362175
8,183294;7,734194
8,1916275;7,7321706
8,199961;7,730148
8,208294;7,7281256
8,216627;7,726104
8,22496;7,7240825
8,233294;7,7220616
8,241627;7,7200413
8,24996;7,718022
8,258293;7,716003
8,266626;7,7139845
8,27496;7,7119665
8,283293;7,709949
8,291626;7,707932
8,299959;7,7059155
8,308292;7,7038994
8,316626;7,701884
8,324959;7,6998687
8,333292;7,6978545
8,341625;7,695841
8,349958;7,6938276
8,358292;7,691815
8,366625;7,6898026
8,374958;7,687791
8,383291;7,6857796
8,391624;7,6837687
8,399958;7,6817584
8,408291;7,679749
8,416624;7,67774
8,424957;7,6757317
8,4332905;7,6737237
8,441624;7,671716
8,449957;7,669709
8,45829;7,6677027
8,466623;7,6656966
8,4749565;7,663691
8,48329;7,661686
8,491623;7,659682
8,499956;7,657678
8,508289;7,655675
8,516623;7,653672
8,524956;7,65167
8,533289;7,649668
8,541622;7,647667
8,549955;7,645666
8,558289;7,643666
8,566622;7,641666
8,574955;7,639667
8,583288;7,6376686
8,591621;7,6356707
8,599955;7,633673
8,608288;7,631676
8,616621;7,6296797
8,624954;7,6276836
8,633287;7,625688
8,641621;7,623693
8,649954;7,6216984
8,658287;7,6197042
8,66662;7,617711
8,674953;7,6157184
8,683287;7,613726
8,69162;7,6117344
8,699953;7,609743
8,708286;7,6077523
8,7166195;7,605762
8,724953;7,603772
8,733286;7,601783
8,741619;7,599794
8,749952;7,5978055
8,7582855;7,595818
8,766619;7,593831
8,774952;7,5918446
8,783285;7,5898585
8,791618;7,587873
8,799952;7,585888
8,808285;7,5839033
8,816618;7,581919
8,824951;7,5799356
8,833284;7,5779524
8,841618;7,5759697
8,849951;7,573988
8,858284;7,5720067
8,866617;7,570026
8,87495;7,5680456
8,883284;7,566066
8,891617;7,5640864
8,89995;7,5621076
8,908283;7,560129
8,916616;7,5581512
8,92495;7,556174
8,933283;7,554197
8,941616;7,5522203
8,949949;7,550245
8,958282;7,5482697
8,966616;7,546295
8,974949;7,544321
8,983282;7,5423474
8,991615;7,5403743
8,9999485;7,5384016
9,008282;7,5364294
9,016615;7,5344577
9,024948;7,5324864
9,033281;7,5305157
9,041615;7,5285454
9,049948;7,526576
9,058281;7,524607
9,066614;7,522639
9,074947;7,520671
9,083281;7,5187035
9,091614;7,5167365
9,099947;7,51477
9,10828;7,512804
9,116613;7,5108385
9,124947;7,5088735
9,13328;7,506909
9,141613;7,504945
9,149946;7,5029817
9,158279;7,501019
9,166613;7,499057
9,174946;7,497095
9,183279;7,495134
9,191612;7,493173
9,199945;7,491213
9,208279;7,489253
9,216612;7,4872937
9,224945;7,485335
9,233278;7,4833765
9,2416115;7,4814186
9,249945;7,479461
9,258278;7,4775043
9,266611;7,4755483
9,274944;7,4735928
9,2832775;7,4716377
9,291611;7,469683
9,299944;7,467729
9,308277;7,4657755
9,31661;7,4638224
9,324944;7,4618697
9,333277;7,4599175
9,34161;7,457966
9,349943;7,4560146
9,358276;7,454064
9,36661;7,4521136
9,374943;7,4501643
9,383276;7,4482155
9,391609;7,446267
9,399942;7,4443192
9,408276;7,442372
9,416609;7,440425
9,424942;7,4384785
9,433275;7,4365325
9,441608;7,434587
9,449942;7,432642
9,458275;7,4306974
9,466608;7,4287534
9,474941;7,42681
9,483274;7,4248667
9,491608;7,422924
9,499941;7,4209824
9,508274;7,419041
9,516607;7,4171004
9,5249405;7,41516
9,533274;7,4132204
9,541607;7,411281
9,54994;7,4093423
9,558273;7,407404
9,5666065;7,405466
9,57494;7,4035287
9,583273;7,401592
9,591606;7,3996553
9,599939;7,3977194
9,608273;7,395784
9,616606;7,393849
9,624939;7,3919144
9,633272;7,389981
9,641605;7,3880477
9,649939;7,386115
9,658272;7,384183
9,666605;7,3822513
9,674938;7,38032
9,683271;7,3783894
9,691605;7,376459
9,699938;7,3745294
9,708271;7,3726
9,716604;7,3706713
9,724937;7,368743
9,733271;7,366815
9,741604;7,3648877
9,749937;7,362961
9,75827;7,3610344
9,766603;7,3591084
9,774937;7,3571835
9,78327;7,355259
9,791603;7,353335
9,799936;7,3514113
9,8082695;7,3494883
9,816603;7,3475657
9,824936;7,3456435
9,833269;7,343722
9,841602;7,3418007
9,849936;7,33988
9,858269;7,33796
9,866602;7,33604
9,874935;7,3341208
9,883268;7,332202
9,891602;7,3302836
9,899935;7,328366
9,908268;7,3264484
9,916601;7,3245316
9,924934;7,322615
9,933268;7,3206997
9,941601;7,3187847
9,949934;7,31687
9,958267;7,314956
9,9666;7,3130426
9,974934;7,3111296
9,983267;7,309217
9,9916;7,307305
9,999933;7,305393
10,008266;7,303482
10,0166;7,3015714
10,024933;7,299661
10,033266;7,2977514
10,041599;7,295842
10,0499325;7,2939334
10,058266;7,292025
10,066599;7,2901173
10,074932;7,28821
10,083265;7,286303
10,0915985;7,2843966
10,099932;7,282491
10,108265;7,2805862
10,116598;7,2786818
10,124931;7,2767777
10,133265;7,274874
10,141598;7,272971
10,149931;7,2710686
10,158264;7,2691665
10,166597;7,267265
10,174931;7,2653637
10,183264;7,263463
10,191597;7,261563
10,19993;7,259663
10,208263;7,257764
10,216597;7,255865
10,22493;7,253967
10,233263;7,252069
10,241596;7,2501717
10,249929;7,248275
10,258263;7,2463784
10,266596;7,2444825
